episode_signature,episode_title,image_link
S12E9,Tropical Seascape,painting145.jpg
S12E10,Mountain at Sunset,painting146.jpg
S12E11,Soft Mountain Glow,painting147.jpg
S12E12,Mountain in an Oval,painting148.jpg
S12E13,Winter Mountain,painting149.jpg
S13E1,Rolling Hills,painting124.jpg
S13E2,Frozen Solitude,painting125.jpg
S13E3,Meadow Brook,painting126.jpg
S13E4,Evening at Sunset,painting127.jpg
S13E5,Mountain View,painting128.jpg
S13E6,Hidden Creek,painting129.jpg
S13E7,Peaceful Haven,painting130.jpg
S13E8,Mountain Exhibition,painting131.jpg
S13E9,Emerald Waters,painting132.jpg
S13E10,Mountain Summit,painting133.jpg
S13E11,Cabin Hideaway,painting134.jpg
S13E12,Oval Essence,painting135.jpg
S13E13,Lost Lake,painting136.jpg
S14E1,Distant Mountains,painting111.jpg
S14E2,Meadow Brook Surprise,painting112.jpg
S14E3,Mountain Moonlight Oval,painting113.jpg
S14E4,Snowy Solitude,painting114.jpg
S14E5,Mountain River,painting115.jpg
S14E6,Graceful Mountains,painting116.jpg
S14E7,Windy Waves,painting117.jpg
S14E8,On a Clear Day,painting118.jpg
S14E9,Riverside Escape Oval,painting119.jpg
S14E10,Surprising Falls,painting120.jpg
S14E11,Shadow Pond,painting121.jpg
S14E12,Misty Forest Oval,painting122.jpg
S14E13,Natural Wonder,painting123.jpg
S15E1,Splendor of Winter,painting98.jpg
S15E2,Colors of Nature,painting99.jpg
S15E3,Grandpa's Barn,painting100.jpg
S15E4,Peaceful Reflections,painting101.jpg
S15E5,Hidden Winter Moon Oval,painting102.jpg
S15E6,Waves of Wonder,painting103.jpg
S15E7,Cabin by the Pond,painting104.jpg
S15E8,Fall Stream,painting105.jpg
S15E9,Christmas Eve Snow,painting106.jpg
S15E10,Forest Down Oval,painting107.jpg
S15E11,Pathway to Autumn,painting108.jpg
S15E12,Deep Forest Lake,painting109.jpg
S15E13,Peaks of Majesty,painting110.jpg
S16E1,Two Seasons,painting84.jpg
S16E2,Nestled Cabin,painting85.jpg
S16E3,Wintertime Discovery,painting86.jpg
S16E4,Mountain Mirage Wood Shape,painting87.jpg
S16E5,Double Oval Fantasy,painting88.jpg
S16E6,Contemplative Lady,painting89.jpg
S16E7,Deep Woods,painting90.jpg
S16E8,High Tide,painting91.jpg
S16E9,Barn in Snow Oval,painting93.jpg
S16E10,That Time of Year,painting94.jpg
S16E11,Waterfall Wonder,painting95.jpg
S16E12,Mighty Mountain Lake,painting96.jpg
S16E13,Wooded Stream Oval,painting97.jpg
S17E1,Golden Mist Oval,painting71.jpg
S17E2,The Old Home Place,painting72.jpg
S17E3,Soothing Vista,painting73.jpg
S17E4,Stormy Seas,painting74.jpg
S17E5,Country Time,painting75.jpg
S17E6,A Mild Winter's Day,painting76.jpg
S17E7,Spectacular Waterfall,painting77.jpg
S17E8,View from the Park,painting78.jpg
S17E9,Lake View,painting79.jpg
S17E10,Old Country Mill,painting80.jpg
S17E11,Morning Walk,painting81.jpg
S17E12,Nature's Splendor,painting82.jpg
S17E13,Mountain Beauty,painting83.jpg
S18E1,Half-Oval Vignette,painting58.jpg
S18E2,Absolutely Autumn,painting59.jpg
